id,type,value
I1,input,0
I2,input,0
M1,meta,False
I3,input,1
I4,input,0
M2,meta,False
I5,input,1
M3,meta,False
MM0,meta-meta,False
I6,input,1
M4,meta,True
I7,input,0
M5,meta,False
I8,input,1
M6,meta,False
MM1,meta-meta,False
I9,input,0
M7,meta,False
I10,input,1
M8,meta,False
I11,input,0
M9,meta,False
MM2,meta-meta,False
I12,input,1
M10,meta,False
I13,input,0
M11,meta,False
I14,input,0
M12,meta,True
MM3,meta-meta,False
I15,input,0
M13,meta,True
I16,input,1
M14,meta,False
I17,input,0
M15,meta,False
MM4,meta-meta,False
I18,input,1
M16,meta,False
I19,input,0
M17,meta,False
I20,input,1
M18,meta,False
MM5,meta-meta,False
I21,input,0
M19,meta,False
I22,input,0
M20,meta,True
I23,input,0
M21,meta,True
MM6,meta-meta,True
I24,input,0
M22,meta,True
I25,input,1
M23,meta,False
I26,input,1
M24,meta,True
MM7,meta-meta,True
I27,input,0
M25,meta,False
I28,input,1
M26,meta,False
I29,input,0
M27,meta,False
MM8,meta-meta,False
I30,input,0
M28,meta,True
I31,input,1
M29,meta,True
I32,input,0
M30,meta,True
MM9,meta-meta,True
I33,input,1
M31,meta,False
I34,input,1
M32,meta,True
I35,input,1
M33,meta,True
MM10,meta-meta,True
I36,input,1
M34,meta,True
I37,input,1
M35,meta,True
I38,input,0
M36,meta,False
MM11,meta-meta,True
I39,input,1
M37,meta,True
I40,input,1
M38,meta,True
I41,input,1
M39,meta,True
MM12,meta-meta,True
I42,input,1
M40,meta,True
I43,input,1
M41,meta,True
I44,input,1
M42,meta,True
MM13,meta-meta,True
I45,input,0
M43,meta,True
I46,input,1
M44,meta,False
I47,input,1
M45,meta,True
MM14,meta-meta,True
I48,input,1
M46,meta,True
I49,input,1
M47,meta,True
I50,input,0
M48,meta,False
MM15,meta-meta,True
I51,input,1
M49,meta,True
I52,input,1
M50,meta,True
I53,input,1
M51,meta,True
MM16,meta-meta,True
I54,input,1
M52,meta,True
I55,input,1
M53,meta,True
I56,input,0
M54,meta,True
MM17,meta-meta,True
I57,input,0
M55,meta,True
I58,input,0
M56,meta,True
I59,input,1
M57,meta,False
MM18,meta-meta,True
I60,input,0
M58,meta,False
I61,input,1
M59,meta,True
I62,input,1
M60,meta,True
MM19,meta-meta,True
I63,input,1
M61,meta,True
I64,input,1
M62,meta,True
I65,input,1
M63,meta,True
MM20,meta-meta,True
I66,input,0
M64,meta,True
I67,input,0
M65,meta,True
I68,input,1
M66,meta,False
MM21,meta-meta,True
I69,input,0
M67,meta,False
I70,input,0
M68,meta,True
I71,input,1
M69,meta,True
MM22,meta-meta,True
I72,input,1
M70,meta,True
I73,input,0
M71,meta,True
I74,input,1
M72,meta,False
MM23,meta-meta,True
I75,input,0
M73,meta,False
I76,input,0
M74,meta,True
I77,input,0
M75,meta,True
MM24,meta-meta,True
I78,input,0
M76,meta,True
I79,input,0
M77,meta,True
I80,input,0
M78,meta,True
MM25,meta-meta,True
I81,input,0
M79,meta,True
I82,input,0
M80,meta,True
I83,input,0
M81,meta,True
MM26,meta-meta,True
I84,input,1
M82,meta,True
I85,input,1
M83,meta,True
I86,input,0
M84,meta,True
MM27,meta-meta,True
I87,input,1
M85,meta,False
I88,input,0
M86,meta,False
I89,input,0
M87,meta,True
MM28,meta-meta,False
I90,input,0
M88,meta,True
I91,input,1
M89,meta,True
I92,input,0
M90,meta,True
MM29,meta-meta,True
I93,input,0
M91,meta,True
I94,input,0
M92,meta,True
I95,input,1
M93,meta,False
MM30,meta-meta,True
I96,input,0
M94,meta,False
I97,input,0
M95,meta,True
I98,input,1
M96,meta,True
MM31,meta-meta,True
I99,input,1
M97,meta,True
I100,input,1
M98,meta,True
I101,input,1
M99,meta,True
MM32,meta-meta,True
I102,input,1
M100,meta,True
I103,input,1
M101,meta,True
I104,input,1
M102,meta,True
MM33,meta-meta,True
I105,input,1
M103,meta,True
I106,input,0
M104,meta,True
I107,input,1
M105,meta,False
MM34,meta-meta,True
I108,input,0
M106,meta,False
I109,input,1
M107,meta,True
I110,input,1
M108,meta,True
MM35,meta-meta,True
I111,input,1
M109,meta,True
I112,input,1
M110,meta,True
I113,input,1
M111,meta,True
MM36,meta-meta,True
I114,input,1
M112,meta,True
I115,input,0
M113,meta,True
I116,input,1
M114,meta,False
MM37,meta-meta,True
I117,input,0
M115,meta,False
I118,input,1
M116,meta,True
I119,input,0
M117,meta,True
MM38,meta-meta,True
I120,input,1
M118,meta,False
I121,input,1
M119,meta,True
I122,input,1
M120,meta,True
MM39,meta-meta,True
I123,input,0
M121,meta,False
I124,input,1
M122,meta,True
I125,input,0
M123,meta,True
MM40,meta-meta,True
I126,input,1
M124,meta,False
I127,input,0
M125,meta,False
I128,input,0
M126,meta,True
MM41,meta-meta,False
I129,input,1
M127,meta,True
I130,input,0
M128,meta,True
I131,input,0
M129,meta,True
MM42,meta-meta,True
I132,input,0
M130,meta,True
I133,input,0
