source,target,weight
I1,M1,1.5000000000000004
I2,M1,1.5000000000000004
M1,MM0,1.0
I3,M1,1.5000000000000004
I3,M2,1.5000000000000004
I4,M2,1.5000000000000004
I4,M3,1.5000000000000004
M2,MM0,1.0
I5,M3,1.5000000000000004
I5,M4,1.4000000000000004
M3,MM0,1.0
I6,M4,1.4000000000000004
I6,M5,1.4000000000000004
M4,MM1,1.0
I7,M5,1.4000000000000004
I7,M6,1.3500000000000003
M5,MM1,1.0
I8,M6,1.3500000000000003
I8,M7,1.3000000000000003
M6,MM1,1.0
I9,M7,1.3000000000000003
I9,M8,1.3000000000000003
M7,MM2,1.0
I10,M8,1.3000000000000003
I10,M9,1.2500000000000002
M8,MM2,1.0
I11,M9,1.2500000000000002
I11,M10,1.2000000000000002
M9,MM2,1.0
I12,M10,1.2000000000000002
I12,M11,1.0999999999999999
M10,MM3,1.0
I13,M11,1.0999999999999999
I13,M12,1.2000000000000002
M11,MM3,1.0
I14,M12,1.2000000000000002
I14,M13,1.1
M12,MM3,1.0
I15,M13,1.1
I15,M14,0.9999999999999999
M13,MM4,1.0
I16,M14,0.9999999999999999
I16,M15,1.1
M14,MM4,1.0
I17,M15,1.1
M15,MM4,1.0
